Temperature (K)	Pressure (Pa)	"Density (l, kg/m3)"	"Volume (l, m3/kg)"	"Internal Energy (l, J/kg)"	"Enthalpy (l, J/kg)"	"Entropy (l, J/kg*K)"	"Cv (l, J/kg*K)"	"Cp (l, J/kg*K)"	"Sound Spd. (l, m/s)"	"Joule-Thomson (l, K/Pa)"	"Viscosity (l, Pa*s)"	"Therm. Cond. (l, W/m*K)"	"Surf. Tension (l, N/m)"	"Density (v, kg/m3)"	"Volume (v, m3/kg)"	"Internal Energy (v, J/kg)"	"Enthalpy (v, J/kg)"	"Entropy (v, J/kg*K)"	"Cv (v, J/kg*K)"	"Cp (v, J/kg*K)"	"Sound Spd. (v, m/s)"	"Joule-Thomson (v, K/Pa)"	"Viscosity (v, Pa*s)"	"Therm. Cond. (v, W/m*K)"
306.43	845420	1174.5	0.00085146	245770	246490	1158.9	923.63	1462.2	467.94	5.37E-08	0.00017576	0.077589	0.0069882	41.31	0.024207	395920	416390	1713.4	863.41	1089.5	142.34	0.000023941	1.21E-05	0.014686
306.77	853530	1173.1	0.00085245	246260	246990	1160.5	924.13	1463.9	466.35	5.72E-08	0.00017501	0.077443	0.006944	41.72	0.02397	396090	416550	1713.3	864.52	1092.1	142.24	0.000023878	1.21E-05	0.014723
307.11	861710	1171.7	0.00085345	246750	247480	1162.1	924.63	1465.6	464.76	6.06E-08	0.00017427	0.077297	0.0068998	42.133	0.023734	396250	416710	1713.1	865.64	1094.7	142.15	0.000023815	1.21E-05	0.01476
307.45	869940	1170.3	0.00085446	247240	247980	1163.7	925.13	1467.3	463.17	6.41E-08	0.00017352	0.077152	0.0068557	42.55	0.023502	396420	416870	1713	866.76	1097.4	142.06	0.000023753	1.21E-05	0.014797
307.79	878230	1169	0.00085547	247730	248480	1165.3	925.63	1469	461.57	6.77E-08	0.00017278	0.077006	0.0068117	42.971	0.023272	396590	417020	1712.9	867.88	1100	141.96	0.000023691	1.21E-05	0.014835
308.13	886580	1167.6	0.00085648	248220	248980	1166.9	926.13	1470.8	459.98	7.13E-08	0.00017204	0.07686	0.0067677	43.395	0.023044	396750	417180	1712.8	869	1102.7	141.87	0.000023629	1.21E-05	0.014872
308.47	894990	1166.2	0.0008575	248720	249480	1168.5	926.63	1472.6	458.38	7.49E-08	0.0001713	0.076715	0.0067238	43.823	0.022819	396920	417340	1712.7	870.13	1105.4	141.77	0.000023568	1.21E-05	0.01491
308.81	903460	1164.8	0.00085852	249210	249980	1170.1	927.13	1474.3	456.79	7.85E-08	0.00017057	0.076569	0.0066799	44.255	0.022597	397080	417490	1712.6	871.26	1108.1	141.67	0.000023508	1.22E-05	0.014948
309.16	911980	1163.4	0.00085955	249700	250490	1171.7	927.64	1476.1	455.19	8.22E-08	0.00016984	0.076424	0.0066361	44.69	0.022376	397240	417650	1712.4	872.38	1110.8	141.57	0.000023448	1.22E-05	0.014986
309.5	920570	1162	0.00086059	250200	250990	1173.3	928.14	1478	453.6	8.59E-08	0.00016911	0.076278	0.0065923	45.129	0.022159	397410	417810	1712.3	873.51	1113.6	141.47	0.000023388	1.22E-05	0.015024
