Temperature (K)	Pressure (Pa)	"Density (l, kg/m3)"	"Volume (l, m3/kg)"	"Internal Energy (l, J/kg)"	"Enthalpy (l, J/kg)"	"Entropy (l, J/kg*K)"	"Cv (l, J/kg*K)"	"Cp (l, J/kg*K)"	"Sound Spd. (l, m/s)"	"Joule-Thomson (l, K/Pa)"	"Viscosity (l, Pa*s)"	"Therm. Cond. (l, W/m*K)"	"Surf. Tension (l, N/m)"	"Density (v, kg/m3)"	"Volume (v, m3/kg)"	"Internal Energy (v, J/kg)"	"Enthalpy (v, J/kg)"	"Entropy (v, J/kg*K)"	"Cv (v, J/kg*K)"	"Cp (v, J/kg*K)"	"Sound Spd. (v, m/s)"	"Joule-Thomson (v, K/Pa)"	"Viscosity (v, Pa*s)"	"Therm. Cond. (v, W/m*K)"
223.57	21445	1374.2	0.0007277	136710	136720	745.22	845.4	1240.7	865.24	-3.424E-07	0.00051285	0.1023	0.019992	1.3334	0.74997	333020	349100	1695.2	677.83	755.46	132.98	0.000045535	7.69E-06	0.0077291
223.91	21880	1373.3	0.00072816	137130	137140	747.11	845.64	1241	863.69	-3.4187E-07	0.00051043	0.10216	0.019937	1.3586	0.73604	333240	349350	1694.8	678.52	756.23	133.05	0.000045363	0.000007709	0.0077561
224.25	22322	1372.5	0.00072862	137550	137570	748.99	845.88	1241.4	862.15	-3.4133E-07	0.00050803	0.10202	0.019883	1.3842	0.72241	333460	349590	1694.5	679.21	756.99	133.13	0.000045192	7.73E-06	0.007783
224.59	22771	1371.6	0.00072908	137970	137990	750.87	846.13	1241.7	860.61	-3.4078E-07	0.00050564	0.10188	0.019828	1.4103	0.70909	333680	349830	1694.1	679.9	757.76	133.2	0.000045021	0.000007752	0.0078099
224.93	23227	1370.7	0.00072955	138390	138410	752.75	846.37	1242.1	859.07	-3.4024E-07	0.00050326	0.10175	0.019773	1.4367	0.69606	333910	350070	1693.8	680.59	758.53	133.27	0.000044852	7.77E-06	0.0078368
225.27	23691	1369.8	0.00073001	138820	138830	754.62	846.61	1242.5	857.53	-3.3969E-07	0.00050089	0.10161	0.019719	1.4635	0.68332	334130	350310	1693.4	681.28	759.3	133.34	0.000044683	7.79E-06	0.0078637
225.61	24162	1369	0.00073047	139240	139260	756.5	846.86	1242.8	855.99	-3.3913E-07	0.00049853	0.10147	0.019664	1.4906	0.67085	334350	350560	1693.1	681.96	760.07	133.41	0.000044515	7.82E-06	0.0078906
225.95	24641	1368.1	0.00073094	139660	139680	758.37	847.11	1243.2	854.45	-3.3858E-07	0.00049619	0.10133	0.01961	1.5182	0.65866	334570	350800	1692.7	682.65	760.84	133.48	0.000044348	7.84E-06	0.0079175
226.29	25128	1367.2	0.00073141	140080	140100	760.24	847.35	1243.6	852.92	-3.3802E-07	0.00049386	0.10119	0.019555	1.5463	0.64673	334790	351040	1692.4	683.34	761.61	133.56	0.000044182	7.86E-06	0.0079444
226.63	25623	1366.4	0.00073187	140510	140520	762.1	847.6	1243.9	851.38	-3.3745E-07	0.00049154	0.10106	0.0195	1.5747	0.63505	335010	351280	1692.1	684.03	762.39	133.63	0.000044017	7.88E-06	0.0079713
226.97	26125	1365.5	0.00073234	140930	140950	763.97	847.85	1244.3	849.84	-3.3688E-07	0.00048923	0.10092	0.019446	1.6035	0.62363	335230	351530	1691.8	684.71	763.16	133.7	0.000043852	7.90E-06	0.0079981
227.31	26636	1364.6	0.00073281	141350	141370	765.83	848.1	1244.7	848.3	-3.3631E-07	0.00048693	0.10078	0.019392	1.6328	0.61246	335460	351770	1691.4	685.4	763.93	133.77	0.000043689	7.92E-06	0.008025
